,Unnamed: 0,id,depart,fromTaz,toTaz,route,cluster
8682,8682,53.54,3136,14,8,409@538#0 538@456#0,26
8683,8683,38.121,3157,13,15,515@470#0,0
8684,8684,58.64,3157,15,13,470@515#0,0
8685,8685,66.15,3158,2,1,467@19#0,1
8686,8686,117.71,3156,9,6,520@641#0,0
8687,8687,76.121,3157,2,9,620@630#0,0
8688,8688,65.82,3075,15,9,471@631#0 631@640#0 640@520#0,6
8689,8689,102.43,3160,8,13,643@365#0,0
8690,8690,95.39,2988,7,6,448@320#0 320@39#0 39@571#0 571@464#0 464@511#0 511@365#0 365@619#0 619@47#0 47@515#0,31
8691,8691,88.52,3020,7,1,448@325#0 325@78#0 78@409#0 409@538#0 538@456#0 456@483#0 483@28#0 28@520#0,21
8692,8692,21.72,3161,10,9,537@456#0,0
8693,8693,46.36,3161,14,12,320@39#0,1
8694,8694,52.36,3161,14,7,342@499#0,0
8695,8695,10.43,3160,1,9,520@641#0,0
8696,8696,11.57,3110,10,1,456@483#0 483@28#0 28@520#0,10
8697,8697,70.151,3161,2,14,536@461#0,0
8698,8698,93.132,3027,7,15,543@415#0 415@408#0 408@611#0 611@417#0 417@418#0 418@66#0 66@529#0 529@607#0 607@601#0,18
8699,8699,113.1,3104,9,13,520@641#0 641@471#0,13
8700,8700,75.98,3150,2,8,34@33#0 33@537#0 537@456#0,3
8701,8701,103.91,3150,8,14,39@571#0,1
8702,8702,119.123,3164,9,8,537@456#0,0
8703,8703,12.58,3164,10,10,537@456#0,0
8704,8704,26.29,3164,12,14,39@320#0,1
8705,8705,43.56,3102,13,9,471@631#0 631@640#0 640@520#0,6
8706,8706,115.311,3102,9,15,520@641#0 641@471#0,13
8707,8707,116.195,3163,9,2,620@630#0,0
8708,8708,15.79,3160,10,14,409@93#0,1
8709,8709,107.41,3141,8,7,464@39#0 39@320#0 320@448#0,10
8710,8710,17.72,3161,10,2,34@36#0,2
8711,8711,93.131,3004,7,15,543@415#0 415@408#0 408@611#0 611@417#0 417@418#0 418@66#0 66@529#0 529@607#0 607@601#0,18
8712,8712,65.83,3113,15,9,471@631#0 631@640#0 640@520#0,6
