,speed,acc,lane,pos,speed_stability,acc_point,acc_avg_point,a*v
142,0,0,320@448#0,1172.728963,1.308540099,0,0,0
143,0,0,320@448#0,1172.728963,1.3225199,0,0,0
144,0,0,320@448#0,1172.728963,1.3462738,0,0,0
145,0,0,320@448#0,1172.728963,1.36360896,0,0,0
146,0,0,320@448#0,1172.728963,1.423264625,0,0,0
147,0,0,320@448#0,1172.728963,1.465281279,0,0,0
148,0,0,320@448#0,1172.728963,1.524005988,0,0,0
149,0,0,320@448#0,1172.728963,1.575141085,0,0,0
150,0,0,320@448#0,1172.728963,1.595751279,0,0,0
151,12.93542687,0.836888263,448@314#0,1268.582695,0.321743632,0,0,0.064697383
152,12.78545275,-0.149974123,314@497#0,1281.368148,0.355796723,0,0,0.01173006
153,12.64565475,-0.139798003,314@497#0,1294.013803,0.434396161,0,0,0.011055023
154,12.88319375,0.237539003,314@497#0,1306.896996,0.421918948,0,0,0.018437897
155,12.70984215,-0.215524532,497@336#0,1332.532205,0.484352089,0,0,0.016957294
156,12.1132855,-0.59655665,497@336#0,1344.645491,0.541579008,0,0,0.049248129
157,12.53345204,0.420166544,497@336#0,1357.178943,0.596809818,0,0,0.033523609
158,13.12069913,0.587247086,497@336#0,1370.299642,0.553589745,0,0,0.044757301
159,12.60934816,-0.511350974,497@336#0,1382.90899,0.610792409,0,0,0.040553323
160,12.40324622,-0.206101938,497@336#0,1395.312236,0.703627205,0,0,0.016616774
161,12.59859662,0.195350397,497@336#0,1407.910833,0.711554805,0,0,0.015505727
162,13.08910165,0.919185405,498@313#0,1445.923934,0.683202791,0,0,0.070225248
163,12.16330926,-0.925792386,498@313#0,1458.087243,0.697202908,0,0,0.076113528
164,12.27607614,0.112766877,498@313#0,1470.363319,0.789743819,0,0,0.009185906
165,13.07375914,0.797683,498@313#0,1483.437078,0.718649401,0,0,0.06101405
166,11.9049333,-1.168825843,498@313#0,1495.342012,0.649128868,0,0,0.098179957
167,12.87740795,0.97247465,498@313#0,1508.219419,0.58315231,0,0,0.075517888
168,13.0324543,0.155046357,498@313#0,1521.251874,0.592874866,0,0,0.011896942
169,11.94907669,-0.025895841,313@309#0,1545.175923,0.550756053,0,0,0.002167183
170,13.08352659,1.134449897,313@309#0,1558.25945,0.464453746,0,0,0.086708265
171,12.80890019,-0.274626403,313@309#0,1571.06835,0.510940997,0,0,0.02144028
172,13.01588508,0.206984888,313@309#0,1584.084235,-999,0,0,0.015902483
173,11.95009152,-1.065793561,313@309#0,1596.034326,-999,0,0,0.089187063
174,12.9882675,0.293859392,309@48#0,1621.717002,-999,0,0,0.022624988
175,13.07500632,0.08673882,309@48#0,1634.792008,-999,0,0,0.006633941
176,12.6013858,-0.473620515,309@48#0,1647.393394,-999,0,0,0.037584796
177,12.91409487,0.312709066,309@48#0,1660.307489,-999,0,0,0.024214555
178,13.16636679,0.252271921,309@48#0,1673.473856,-999,0,0,0.019160329
179,12.50417731,-0.662189477,309@48#0,1685.978033,-999,0,0,0.052957461
180,12.23275048,-0.271426828,309@48#0,1698.210784,-999,0,-999,0.022188536
181,12.97224939,0.73949891,309@48#0,1711.183033,-999,0,-999,0.057006221
