,speed,acc,lane,pos,speed_stability,acc_point,acc_avg_point,a*v,a/v
56,14.734000000000002,0.0,1/1to1/4,804.534091414098,0.0,0,0,0.0,0.0
57,14.734000000000002,0.0,1/1to1/4,819.2680914140981,0.0,0,0,0.0,0.0
58,14.734000000000002,0.0,1/1to1/4,834.002091414098,0.0,0,0,0.0,0.0
59,14.734000000000002,0.0,1/1to1/4,848.7360914140979,0.0,0,0,0.0,0.0
60,14.734000000000002,0.0,1/1to1/4,863.470091414098,0.0,0,0,0.0,0.0
61,14.734000000000002,0.0,1/1to1/4,878.204091414098,0.0,0,0,0.0,0.0
62,14.734000000000002,0.0,1/1to1/4,892.9380914140979,0.32223638046993963,0,0,0.0,0.0
63,14.734000000000002,0.0,1/1to1/4,907.6720914140978,0.3922363804699396,0,0,0.0,0.0
64,14.734000000000002,0.0,1/1to1/4,922.4060914140979,0.6444727609398793,0,0,0.0,0.0
65,14.734000000000002,0.0,1/1to1/4,937.1400914140979,0.6444727609398793,0,0,0.0,0.0
66,14.734000000000002,0.0,1/1to1/4,951.874091414098,0.6444727609398793,0,0,0.0,0.0
67,14.734000000000002,0.0,1/1to1/4,966.608091414098,0.6444727609398793,0,0,0.0,0.0
68,14.734000000000002,0.0,1/1to1/4,981.342091414098,0.6444727609398793,0,0,0.0,0.0
69,14.734000000000002,0.0,1/1to1/4,996.0760914140981,0.6444727609398793,0,0,0.0,0.0
70,14.734000000000002,0.0,1/1to1/4,1010.8100914140981,0.6444727609398793,0,0,0.0,0.0
71,14.734000000000002,0.0,1/1to1/4,1025.5440914140981,0.6444727609398793,0,0,0.0,0.0
72,11.511636195300605,-3.2223638046993965,1/1to1/4,1037.0557276093987,0.32223638046993963,-2,0,133.54084731097493,0.0777561974401476
73,12.211636195300605,2.5999999999999996,1/4to1/2,1065.8906361953007,0.25223638046993974,1,0,114.30091478801364,0.05914213383626302
74,14.734000000000002,2.5223638046993972,1/4to1/2,1080.6246361953008,-999.0,1,0,133.79222987438732,0.04755372691845386
75,14.734000000000002,0.0,1/4to1/2,1095.3586361953007,-999.0,0,0,0.0,0.0
76,14.734000000000002,0.0,1/4to1/2,1110.0926361953007,-999.0,0,0,0.0,0.0
77,14.734000000000002,0.0,1/4to1/2,1124.8266361953008,-999.0,0,0,0.0,0.0
78,14.734000000000002,0.0,1/4to1/2,1139.5606361953007,-999.0,0,0,0.0,0.0
79,14.734000000000002,0.0,1/4to1/2,1154.2946361953009,-999.0,0,0,0.0,0.0
80,14.734000000000002,0.0,1/4to1/2,1169.0286361953008,-999.0,0,0,0.0,0.0
81,14.734000000000002,0.0,1/4to1/2,1183.7626361953007,-999.0,0,0,0.0,0.0
82,14.734000000000002,0.0,1/4to1/2,1198.4966361953009,-999.0,0,-999,0.0,0.0
83,14.734000000000002,0.0,1/4to1/2,1213.2306361953008,-999.0,0,-999,0.0,0.0
